     10          4         19.03		14.01            19.00    13.35          19.14    12.55           19.17      11.77  
   9          4         18.18 		13.01            18.11    12.50          18.09   11.88            18.19     10   
    8          4         17.10		12.10            17.05    11.70          17.02    11.26           17.19     11.00  
   7          4         16.18 		11.05            16.18    10.87          16.01    10.63            16.18     10.50   
   6          4         15.09		10.01            15.15    10.13          15.10     10.18           15.05     10.05  
     5          4          14.20		9.15             14.14    9.40           14.15     9.47            14.13     9.65   
   4          4          13.01		8.14             13.15    8.58           13.07     8.95            13.13     9.25 
      3          4          12.11		7.14             12.02    7.72           12.13     8.39            12.08     8.97   
   2          4          11.00		6.01             11.08    6.81           11.01      7.71            11.08     8.53   
   1          4          10.19		5.04             10.08    6.01           10.10      7.14            10.17     8.14     
